"""KTA080171""",3,KT22,7.6875
"""KTA080171""",4,KT12,7.6875
"""SPB056146""",1,KT32,6.5
"""SPB056146""",2,KT31,6.5
"""SPB056146""",3,KT22,5.9375
"""SPB056146""",4,KT12,5.9375
"""TMA065279""",1,KT21,6.0
"""TMA065279""",2,KT12,6.0
"""TMA065279""",3,KT22,6.0
"""TMA011671""",1,KT22,6.125
"""TMA011671""",2,CN2,6.125
"""TMA011671""",3,CN3,7.125
"""TMA011671""",4,QT12,6.91666666666667
"""CON029058""",1,KT22,7.375
"""CON029058""",2,CN2,7.375
"""CON029058""",3,KT14,7.375
"""CON029058""",4,KT21,7.375
"""KTA047696""",1,CN2,7.4375
"""KTA047696""",2,CN1,7.4375
"""KTA047696""",3,KQ1,7.16666666666667
"""KTA047696""",4,KT22,7.4375
"""SPB048495""",1,CN2,6.1875
"""SPB048495""",2,KT21,6.1875
"""SPB048495""",3,KT22,6.1875
"""TLA053521""",1,KT31,7.3125
"""SPB099369""",1,KT12,6.9375
"""SPB099369""",2,KT11,6.9375
"""SPB099369""",3,KT22,6.9375
"""BKT035533""",1,KT31,6.4375
"""BKT035533""",2,KT32,6.4375
"""TMA001783""",1,KT22,6.875
"""TMA001783""",2,KQ3,7.16666666666667
"""TMA001783""",3,KT12,6.875
"""TMA001783""",4,CN2,6.875
"""ABC017944""",1,KQ1,5.41666666666667
"""KTA017484""",1,KT21,7.0625
"""KTA017484""",2,CN2,7.0625
"""KTA017484""",3,KT11,7.0625
"""KTA017484""",4,KT41,7.0
"""ABC033401""",1,CN2,7.25
"""ABC033401""",2,KT22,7.25
"""ABC033401""",3,KT11,7.25
"""TMA093321""",1,KT21,6.3125
"""TMA093321""",2,CN2,6.3125
"""TMA093321""",3,KT22,6.3125
"""TMA093321""",4,KT12,6.3125
"""TLA049575""",1,KT23,5.5
"""TLA049575""",2,KT12,5.5
"""TLA049575""",3,KT21,5.5
"""TLA049575""",4,KT22,5.5
"""TLA018445""",1,KQ3,6.0
"""TLA018445""",2,QT11,6.33333333333333
"""TLA093891""",1,KT21,6.875
"""TLA093891""",2,KT22,6.875
"""TLA093891""",3,KT12,6.875
"""TLA093891""",4,CN2,6.875
"""SPB076556""",1,KT22,6.6875
"""SPB076556""",2,KT21,6.6875
"""SPB076556""",3,KT12,6.6875
"""SPB076556""",4,KT14,6.6875
"""CON017971""",1,KT31,8.5
"""CON017971""",2,CN2,8.5
"""CON017971""",3,KT21,8.5
"""CON017971""",4,CN3,8.5
"""SPB079054""",1,KT31,7.125
"""SPB079054""",2,KT21,7.125
"""SPB079054""",3,KT22,7.125
"""SPB079054""",4,CN1,7.125
"""SPB029613""",1,KT22,6.5625
"""SPB029613""",2,KT12,6.5625
"""SPB054583""",1,KT31,7.5
"""SPB035736""",1,KT11,6.875
"""SPB035736""",2,KT12,6.875
"""SPB035736""",3,CN2,6.875
"""TLA004310""",1,KT21,5.9375
"""TLA004310""",2,KT14,5.9375
"""TLA004310""",3,KT22,5.9375
"""TMA076277""",1,KT31,7.4375
"""TMA076277""",2,KQ3,7.08333333333333
"""CON029102""",1,TA1,6.6875
"""ABC022489""",1,KT41,7.75
"""ABC022489""",2,KT32,7.875
"""ABC038724""",1,KT21,5.6875
"""ABC038724""",2,KT22,5.6875
"""ABC038724""",3,KT11,5.6875
"""ABC038724""",4,CN2,5.6875
"""TMA085820""",1,CN2,7.5625
"""TMA085820""",2,KT21,7.5625
"""BKT077637""",1,KT21,6.375
"""BKT077637""",2,KT12,6.375
"""BKT077637""",3,KT31,6.9375
"""BKT077637""",4,CN1,6.375
"""SPB091104""",1,KT12,7.125
"""SPB091104""",2,KT21,7.125
"""SPB091104""",3,CN2,7.125
"""SPB091104""",4,CN1,7.125
"""KTA038044""",1,KT11,5.875
"""KTA038044""",2,KT21,5.875
"""KTA038044""",3,KT22,5.875
"""KTA038044""",4,CN2,5.875
"""SPB026327""",1,CN2,5.6875
"""SPB063170""",1,KT21,6.1875
"""SPB063170""",2,KT22,6.1875
"""SPB063170""",3,CN1,6.1875
"""SPB063170""",4,KT14,6.1875
"""TLA072378""",1,KT32,7.6875
"""TLA072378""",2,CN3,7.6875
"""ABC039994""",1,CN1,6.0
"""ABC039994""",2,CN2,6.0
"""ABC039994""",3,KT11,6.0
"""ABC039994""",4,KT21,6.0
"""BKT006784""",1,KT21,6.6875
"""BKT006784""",2,CN1,6.6875
"""BKT006784""",3,KT13,6.6875
"""SPB008058""",1,KT31,7.25
"""SPB008058""",2,KT12,7.0
"""SPB008058""",3,CN2,7.0
"""SPB008058""",4,KT21,7.0
"""BKT080465""",1,KQ2,7.16666666666667
"""BKT080465""",2,KT31,6.875
"""SPB011516""",1,CN2,6.5
"""SPB011516""",2,CN1,6.5
"""SPB011516""",3,KT11,6.5
"""SPB011516""",4,QT11,7.16666666666667
"""TMA040509""",1,CN1,6.625
